,url,title,authorname,avg_rating,num_rat,num_rev,total_pages,ori_year,places,series,awards,genre3
794,https://www.goodreads.com//book/show/25389017-what-remains-of-heroes,What Remains of Heroes,David Benem,3.85,608,75,486,2015,,1,SPFBO Award Nominee for Best Fantasy Book (2015),"['Fantasy', 'Fantasy', 'Dark Fantasy']"
795,https://www.goodreads.com//book/show/25155747-kings-or-pawns,Kings or Pawns,J.J. Sherwood,4.31,134,92,383,2015,,1,,"['Fantasy', 'Fantasy', 'Epic Fantasy']"
796,https://www.goodreads.com//book/show/25655627-the-phoenix-gate,The Phoenix Gate,Michael S. Vischi,4.00,8,5,500,2015,,0,,[]
797,https://www.goodreads.com//book/show/30975102,अर्थला,Vivek Kumar,4.37,232,42,440,2016,,1,,"['Fiction', 'Fantasy', 'Asian Literature']"
798,https://www.goodreads.com//book/show/32796164-of-life-and-love,"Of Life and Love (The Silver Dolphins Saga, #1)",M.M. Scott,4.87,15,7,347,2016,,0,,"['Fantasy', 'Epic Fantasy']"
799,https://www.goodreads.com//book/show/35831195-magium,Magium: The Mage Tournament (Book 1),Chris Michael Wilson,3.93,277,24,377,2017,,0,,"['Fantasy', 'Adventure', 'Gamebooks']"
800,https://www.goodreads.com//book/show/37786729-the-shaman-s-apprentice,The Shaman's Apprentice (Jovai Book 1),B. Muze,4.31,42,22,404,2017,,0,,[]
801,https://www.goodreads.com//book/show/42605271-the-shadow-kingdom,The Shadow Kingdom,C.J. Inkson,3.86,37,23,319,2018,,1,,"['Fantasy', 'Young Adult']"
802,https://www.goodreads.com//book/show/43228184-shalmar,Shalmar,Serena Whynd,4.43,40,3,,2018,,1,,"['Fantasy', 'Fantasy', 'Mythology']"
803,https://www.goodreads.com//book/show/51106881-elrich,Elrich: Guardian of the Firestone,Richard Turner,4.71,7,3,493,2019,,0,,[]
804,https://www.goodreads.com//book/show/46033671-the-legends-of-eve,"The Legends of Eve: Book of Fire (A Warrior's Past, #2)",Anonymous .,4.83,89,29,,2020,,0,,"['Fantasy', 'Childrens', 'Middle Grade']"
805,https://www.goodreads.com//book/show/17182126-steelheart,Steelheart,Brandon Sanderson,4.13,"159,435","13,661",386,2013,,1,"Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award Nominee for Young Adult (2016), Rhode Island Teen Book Award (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013) ...more","['Fantasy', 'Young Adult', 'Science Fiction']"
806,https://www.goodreads.com//book/show/55160645-a-dance-for-the-gods,A Dance for the Gods,E.O. Odiase,3.98,53,36,360,2021,,1,,"['Fantasy', 'Adult']"
